what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372783829176
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372783829328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372783831063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372783832046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372783997057
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372783997591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372783998689
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784000503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784384871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784387610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784388769
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784389171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784401058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784406551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784417310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784423050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784444919
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784449282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784477658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784585343
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784588216
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784596667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784606334
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784611732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784617005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784619012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784622763
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784626365
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784631435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784641637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372784642620
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784645650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784646635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784659621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784659718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784663699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784665345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784677120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784678997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784680064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784710935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372784712266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784718729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784758115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784763594
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784770115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784774417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784779905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372784783500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372784798975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784807247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784808368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784809002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784811752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784815004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784819675
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372784820308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1372784826407
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784837330
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784866222
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372784867045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784873620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784936498
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372784945154
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1372784947246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784948553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784955765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1372784959484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784964208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784970492
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372784979692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372784983032
